Row Id,Printing Method,Problem (Professional),Problem (Simplified),Image Reference,Symptoms 1,Symptoms 2,Symptoms 3,Symptoms 4,Reason 1,Remedy 1,Reason 2,Remedy 2,Reason 3,Remedy 3,Reason 4,Remedy 4,Reason 5,Remedy 5,Reason 6,Remedy 6,Reason 7,Remedy 7
0.2333097979,Gravure,Poor density,Weak colour,,Print too light,Dull look,Poor coverage,Washed-out image,Ink too thin,Adjust viscosity,Ink too little,Increase ink,Wrong solvent,Adjust blend,Ink film too thin,Increase load,Cylinder worn,Rechrome,Dryer too strong,Reduce heat,Wrong press speed,Adjust speed
0.09499161562,Flexo,Poor density,Weak colour,,Print too light,Dull look,Poor coverage,Washed-out image,Ink too thin,Adjust viscosity,Ink too little,Increase ink,Wrong solvent,Adjust blend,Ink film too thin,Increase load,Anilox volume too low,Use higher volume,Dryer too strong,Reduce heat,Wrong press speed,Adjust speed
0.1930108608,Gravure,Ink flooding,Excess ink,,Too much ink,Loss of detail,Blurred image,Heavy film,Ink too thin,Adjust viscosity,Ink too much,Reduce load,Pressure too high,Reduce pressure,Wrong solvent,Adjust blend,Cylinder cells too deep,Rechrome,Ink not balanced,Reformulate,Dryer too weak,Improve drying
0.3488983514,Flexo,Ink flooding,Excess ink,,Too much ink,Loss of detail,Blurred image,Heavy film,Ink too thin,Adjust viscosity,Ink too much,Reduce load,Pressure too high,Reduce pressure,Wrong solvent,Adjust blend,Anilox volume too high,Change anilox,Ink not balanced,Reformulate,Dryer too weak,Improve drying
0.6434801602,Gravure,Ink build-up,Ink piling,,Thick edges,Dirty print,Smudges,Extra ink at edges,Ink too thick,Reduce viscosity,Ink circulation poor,Improve flow,Wrong solvent,Adjust blend,Pressure too high,Reduce pressure,Cylinder wear,Rechrome,Ink drying too slow,Adjust dryer,Substrate rough,Use smoother substrate
0.07835020949,Flexo,Ink build-up,Ink piling,,Thick edges,Dirty print,Smudges,Extra ink at edges,Ink too thick,Reduce viscosity,Ink circulation poor,Improve flow,Wrong solvent,Adjust blend,Pressure too high,Reduce pressure,Anilox dirty,Clean anilox,Ink drying too slow,Adjust dryer,Substrate rough,Use smoother substrate
0.3623937074,Gravure,Ink foaming,Foaming,,Bubbles in ink,Pinholes,Poor coverage,Uneven print,Air trapped,Defoam ink,Wrong solvent mix,Adjust solvent,High speed,Reduce speed,Strong agitation,Reduce mixing,Ink too thin,Adjust viscosity,Dirty pipe,Clean system,Foam stabilizers,Reformulate
0.3349742411,Flexo,Ink foaming,Foaming,,Bubbles in ink,Pinholes,Poor coverage,Uneven print,Ink shear too high,Reduce speed,Anilox volume wrong,Change anilox,Strong agitation,Reduce mixing,Ink too thin,Adjust viscosity,Wrong solvent,Adjust solvent,Pump leaks air,Fix leaks,Foam stabilizers,Reformulate
0.3763911278,Gravure,Poor trapping,Colours not sitting well,,Second colour weak,Colours not sharp,Poor overlap,Dull print,Ink too dry,Add retarder,Wrong ink order,Adjust sequence,Pressure too low,Increase pressure,Film too smooth,Improve treatment,Ink too thin,Adjust viscosity,Solvent unbalanced,Adjust solvent,Cylinder worn,Rechrome
0.919402116,Flexo,Poor trapping,Colours not sitting well,,Second colour weak,Colours not sharp,Poor overlap,Dull print,Ink too dry,Add retarder,Wrong ink order,Adjust sequence,Pressure too low,Increase pressure,Film too smooth,Improve treatment,Ink too thin,Adjust viscosity,Plate swell,Use proper plate,Anilox too fine,Use coarser anilox
0.6632023758,Gravure,Poor registration,Colours not lining up,,Double image,Misaligned colours,Blurry text,Ghost edges,Web tension uneven,Adjust tension,Cylinder not aligned,Align cylinders,Press slippage,Fix gears,Film shrinkage,Use stable film,Heat too high,Adjust dryers,Speed mismatch,Adjust speed,Pressure too low,Increase pressure
0.8832412131,Flexo,Poor registration,Colours not lining up,,Double image,Misaligned colours,Blurry text,Ghost edges,Web tension uneven,Adjust tension,Plate not aligned,Re-mount plate,Worn gears,Replace gears,Film shrinkage,Use stable film,Heat too high,Adjust dryers,Speed mismatch,Adjust speed,Pressure too low,Increase pressure
0.9730594261,Gravure,Ghosting,Shadow print,,Faint images,Repeat marks,Uneven density,Faded areas,Ink starvation,Improve ink flow,Cylinder imbalance,Repair cylinder,Ink circulation poor,Improve pump,Uneven pressure,Adjust pressure,Ink too thin,Adjust viscosity,Solvent too fast,Add retarder,Dryer too strong,Reduce drying
0.7686916583,Flexo,Ghosting,Shadow print,,Faint images,Repeat marks,Uneven density,Faded areas,Ink starvation,Improve ink flow,Plate bounce,Improve mounting,Ink circulation poor,Improve pump,Uneven pressure,Adjust pressure,Ink too thin,Adjust viscosity,Solvent too fast,Add retarder,Dryer too strong,Reduce drying
0.07012634808,Gravure,Doctor blade streaks,Blade lines,,Lines in print,Rough streaks,Missing ink,Scratches,Blade worn,Replace blade,Wrong angle,Adjust angle,Pressure too high,Reduce pressure,Blade damaged,Use new blade,Cylinder rough,Polish/rechrome,Ink too thick,Adjust viscosity,Dirt stuck,Clean blade
0.5413986032,Flexo,Doctor blade streaks,Blade lines,,Lines in print,Rough streaks,Missing ink,Scratches,Blade worn,Replace blade,Wrong angle,Adjust angle,Pressure too high,Reduce pressure,Blade damaged,Use new blade,Anilox damaged,Replace anilox,Ink too thick,Adjust viscosity,Dirt stuck,Clean blade
0.5400531524,Gravure,Colour variation,Colour changing,,Shade difference,Print too light,Print too dark,Tone shifts,Ink viscosity off,Adjust viscosity,Wrong ink mix,Recheck formula,Solvent evaporation,Add solvent,Film absorbs uneven,Use coated film,Cylinder worn,Repair/rechrome,Speed wrong,Adjust speed,Ink not mixed,Stir properly
0.0865013161,Flexo,Colour variation,Colour changing,,Shade difference,Print too light,Print too dark,Tone shifts,Ink viscosity off,Adjust viscosity,Wrong ink mix,Recheck formula,Solvent evaporation,Add solvent,Plate swelling,Use correct plate,Anilox worn,Replace anilox,Speed wrong,Adjust speed,Ink not mixed,Stir properly
0.109780322,Gravure,Excess solvent retention,Ink smells / not dry,,Strong odour,Blocking,Lamination weak,Ink soft,Dryer too weak,Increase drying,Solvent too slow,Use faster solvent,Ink too thick,Reduce viscosity,Ink load heavy,Reduce coat weight,Dryer temp low,Raise heat,Poor airflow,Increase air,Wrong solvent ratio,Adjust blend
0.1968030514,Flexo,Excess solvent retention,Ink smells / not dry,,Strong odour,Blocking,Lamination weak,Ink soft,Dryer too weak,Increase drying,Solvent too slow,Use faster solvent,Ink too thick,Reduce viscosity,Ink load heavy,Reduce coat weight,Dryer temp low,Raise heat,Poor airflow,Increase air,Wrong solvent ratio,Adjust blend
0.5641834066,Gravure,Blocking,Sheets stick together,,Sheets stick,Ink transfers,Poor release,Wrinkles,Ink not dry,Improve drying,Wrong solvent,Use faster solvent,Ink too heavy,Reduce coat weight,Humidity high,Control RH,Wrong slip additive,Add slip agent,Heat too high,Reduce stack temp,Stacking issue,Use interleaf
0.9833949092,Flexo,Blocking,Sheets stick together,,Sheets stick,Ink transfers,Poor release,Wrinkles,Ink not dry,Improve drying,Wrong solvent,Use faster solvent,Ink too heavy,Reduce coat weight,Humidity high,Control RH,Wrong slip additive,Add slip agent,Heat too high,Reduce stack temp,Stacking issue,Use interleaf
0.09546307245,Gravure,Ink smearing,Smudged print,,Print rubs off,Blurry print,Weak film,Smudge marks,Ink not dry,Improve drying,Ink too soft,Add crosslink,Wrong solvent,Adjust blend,Ink film heavy,Reduce coating,Pressure too high,Reduce pressure,Ink too slow,Reformulate,Wrong substrate,Use coated film
0.8963936736,Flexo,Ink smearing,Smudged print,,Print rubs off,Blurry print,Weak film,Smudge marks,Ink not dry,Improve drying,Ink too soft,Add crosslink,Wrong solvent,Adjust blend,Ink film heavy,Reduce coating,Pressure too high,Reduce pressure,Ink too slow,Reformulate,Wrong substrate,Use coated film
0.7003947788,Gravure,Curling,Film curling,,Edges curl,Roll not flat,Wrinkles,Misregister,Too much heat,Reduce dryer,Uneven drying,Adjust airflow,Ink heavy,Reduce coating,Wrong solvent,Adjust blend,Tension wrong,Adjust tension,Paper absorbs uneven,Use coated paper,Film memory,Use stable film
0.1358042062,Flexo,Curling,Film curling,,Edges curl,Roll not flat,Wrinkles,Misregister,Too much heat,Reduce dryer,Uneven drying,Adjust airflow,Ink heavy,Reduce coating,Wrong solvent,Adjust blend,Tension wrong,Adjust tension,Paper absorbs uneven,Use coated paper,Film memory,Use stable film
0.853319045,Gravure,Pinholes,Small holes,,Tiny dots missing,Poor barrier,Weak coverage,Visible spots,Air trapped,Defoam ink,Ink too thin,Adjust viscosity,Solvent too fast,Add retarder,Substrate porous,Precoat,Ink not mixed,Stir properly,Cylinder cells blocked,Rechrome,Dust on film,Clean substrate
0.2546155365,Flexo,Pinholes,Small holes,,Tiny dots missing,Poor barrier,Weak coverage,Visible spots,Air trapped,Defoam ink,Ink too thin,Adjust viscosity,Solvent too fast,Add retarder,Substrate porous,Precoat,Ink not mixed,Stir properly,Anilox blocked,Clean/replace,Dust on film,Clean substrate
0.5753655561,Gravure,Uneven gloss,Shiny/dull spots,,Patchy shine,Gloss uneven,Dull areas,Over-shiny spots,Ink too thick,Reduce ink,Poor dispersion,Mix properly,Cylinder wear,Rechrome,Solvent too fast,Add retarder,Uneven drying,Balance dryer,Coating wrong,Adjust viscosity,Wrong solvent ratio,Adjust blend
0.5684379948,Flexo,Uneven gloss,Shiny/dull spots,,Patchy shine,Gloss uneven,Dull areas,Over-shiny spots,Ink too thick,Reduce ink,Poor dispersion,Mix properly,Plate wear,Replace plate,Solvent too fast,Add retarder,Uneven drying,Balance dryer,Coating wrong,Adjust viscosity,Wrong solvent ratio,Adjust blend
0.529776593,Gravure,Ink spreading,Print too wide,,Lines expand,Blurry print,Fine details lost,Edges bleed,Ink too thin,Adjust viscosity,Too much pressure,Reduce pressure,Solvent too slow,Use faster solvent,Ink not dry,Improve drying,Cylinder cells deep,Rechrome,Wrong solvent,Adjust balance,Paper absorbs too much,Use treated paper
0.4642646561,Flexo,Ink spreading,Print too wide,,Lines expand,Blurry print,Fine details lost,Edges bleed,Ink too thin,Adjust viscosity,Too much pressure,Reduce pressure,Solvent too slow,Use faster solvent,Ink not dry,Improve drying,Anilox volume too high,Use lower volume,Wrong solvent,Adjust balance,Paper absorbs too much,Use treated paper
0.3768681692,Gravure,Poor adhesion,Ink not sticking,,Ink rubs off,Peels,Weak lamination,Cracks,Poor surface treatment,Treat substrate,Ink incompatible,Reformulate,Solvent blend wrong,Adjust blend,Ink film too thin,Increase load,Ink too dry,Adjust retarder,Pressure wrong,Adjust impression,Dust/oil on substrate,Clean substrate
0.4868933611,Flexo,Poor adhesion,Ink not sticking,,Ink rubs off,Peels,Weak lamination,Cracks,Poor surface treatment,Treat substrate,Ink incompatible,Reformulate,Solvent blend wrong,Adjust blend,Ink film too thin,Increase load,Ink too dry,Adjust retarder,Pressure wrong,Adjust impression,Dust/oil on substrate,Clean substrate
0.1883017605,Gravure,Ink set-off,Print marks on back,,Print transfers,Backside dirty,Ghost marks,Blocking,Ink not dry,Improve drying,Ink too heavy,Reduce coating,Wrong solvent blend,Use faster solvent,Excess pressure,Reduce nip,Wrong stacking,Adjust handling,Film rough,Use smooth substrate,Ink too soft,Reformulate
0.8324040977,Flexo,Ink set-off,Print marks on back,,Print transfers,Backside dirty,Ghost marks,Blocking,Ink not dry,Improve drying,Ink too heavy,Reduce coating,Wrong solvent blend,Use faster solvent,Excess pressure,Reduce nip,Wrong stacking,Adjust handling,Film rough,Use smooth substrate,Ink too soft,Reformulate
0.757728326,Gravure,Static,Static problems,,Dust attraction,Shocks to operator,Web misregisters,Sparks,Low humidity,Add ionizer,Poor earthing,Improve grounding,Fast unwinding,Slow speed,Insufficient anti-static,Add additive,Dry air,Humidify,Poor roller conductivity,Use conductive rollers,Dryer imbalance,Adjust dryer
0.5167012038,Flexo,Static,Static problems,,Dust attraction,Shocks to operator,Web misregisters,Sparks,Low humidity,Add ionizer,Poor earthing,Improve grounding,Fast unwinding,Slow speed,Insufficient anti-static,Add additive,Dry air,Humidify,Poor roller conductivity,Use conductive rollers,Dryer imbalance,Adjust dryer
0.55291945,Gravure,Blocking,Sheets stick together,,Sheets stick,Ink transfers,Poor release,Wrinkles,Ink not dry,Improve drying,Wrong solvent,Use faster solvent,Ink too heavy,Reduce coat weight,Humidity high,Control RH,Wrong slip additive,Add slip agent,Heat too high,Reduce stack temp,Stacking method wrong,Use interleaf
0.451977432,Flexo,Blocking,Sheets stick together,,Sheets stick,Ink transfers,Poor release,Wrinkles,Ink not dry,Improve drying,Wrong solvent,Use faster solvent,Ink too heavy,Reduce coat weight,Humidity high,Control RH,Wrong slip additive,Add slip agent,Heat too high,Reduce stack temp,Stacking method wrong,Use interleaf
0.3732616994,Gravure,Ink smearing,Smudged print,,Print rubs off,Blurry print,Poor edge,Dull finish,Ink not dry,Improve drying,Ink too soft,Add crosslink,Wrong solvent,Adjust blend,Ink layer heavy,Reduce coating,Pressure too high,Reduce pressure,Ink too slow,Reformulate,Substrate wrong,Use coated film
0.1591388168,Flexo,Ink smearing,Smudged print,,Print rubs off,Blurry print,Poor edge,Dull finish,Ink not dry,Improve drying,Ink too soft,Add crosslink,Wrong solvent,Adjust blend,Ink layer heavy,Reduce coating,Pressure too high,Reduce pressure,Ink too slow,Reformulate,Substrate wrong,Use coated film
0.4366187414,Gravure,Curling,Film curling,,Edges curl,Roll not flat,Wrinkles,Misregister,Too much heat,Reduce dryer,Uneven drying,Adjust airflow,Ink too heavy,Reduce coating,Wrong solvent,Adjust blend,Tension wrong,Adjust tension,Paper absorbs uneven,Use coated paper,Film memory,Use stable film
0.08947244831,Flexo,Curling,Film curling,,Edges curl,Roll not flat,Wrinkles,Misregister,Too much heat,Reduce dryer,Uneven drying,Adjust airflow,Ink too heavy,Reduce coating,Wrong solvent,Adjust blend,Tension wrong,Adjust tension,Paper absorbs uneven,Use coated paper,Film memory,Use stable film
0.1923547077,Gravure,Pinholes,Small holes,,Tiny dots missing,Poor barrier,Weak coverage,Visible spots,Air trapped,Defoam ink,Ink too thin,Adjust viscosity,Solvent too fast,Add retarder,Substrate porous,Precoat,Ink not mixed,Stir properly,Cylinder cells blocked,Rechrome,Dust on film,Clean substrate
0.009494925158,Flexo,Pinholes,Small holes,,Tiny dots missing,Poor barrier,Weak coverage,Visible spots,Air trapped,Defoam ink,Ink too thin,Adjust viscosity,Solvent too fast,Add retarder,Substrate porous,Precoat,Ink not mixed,Stir properly,Anilox blocked,Clean/replace,Dust on film,Clean substrate
0.1046727911,Gravure,Uneven gloss,Shiny/dull spots,,Patchy shine,Gloss uneven,Dull areas,Over-shiny,Ink too thick,Reduce ink,Poor dispersion,Mix properly,Cylinder wear,Rechrome,Solvent too fast,Add retarder,Uneven drying,Balance dryer,Coating wrong,Adjust viscosity,Wrong solvent ratio,Adjust blend
0.6199641994,Flexo,Uneven gloss,Shiny/dull spots,,Patchy shine,Gloss uneven,Dull areas,Over-shiny,Ink too thick,Reduce ink,Poor dispersion,Mix properly,Plate wear,Replace plate,Solvent too fast,Add retarder,Uneven drying,Balance dryer,Coating wrong,Adjust viscosity,Wrong solvent ratio,Adjust blend
0.5748963701,Gravure,Ink spreading,Print too wide,,Lines expand,Blurry print,Fine details lost,Edges bleed,Ink too thin,Adjust viscosity,Too much pressure,Reduce pressure,Solvent too slow,Use faster solvent,Ink not dry,Improve drying,Cylinder cells deep,Rechrome,Wrong solvent,Adjust balance,Paper absorbs too much,Use treated paper
0.3000728325,Flexo,Ink spreading,Print too wide,,Lines expand,Blurry print,Fine details lost,Edges bleed,Ink too thin,Adjust viscosity,Too much pressure,Reduce pressure,Solvent too slow,Use faster solvent,Ink not dry,Improve drying,Anilox volume too high,Use lower volume,Wrong solvent,Adjust balance,Paper absorbs too much,Use treated paper
